,OSA,Healthy
Eye1-C4s,-0.0038014818553503875,-0.0031264320941314762
Eye1-C4b,-0.005340674722113131,-0.004087295795177339
Eye1-O2d,-0.007079069039536551,-0.006693116941791253
Eye1-O2t,-0.002872756334193532,-0.0022065962571042887
Eye1-O2a,0.00011548493225632946,-4.133238951987573e-05
Eye1-O2s,-0.002646986340013846,-0.0021840783429692852
Eye1-O2b,-0.004652019652952047,-0.0034871211780430067
Eye2-FLd,-0.00015201628092750344,0.0010953734472424021
Eye2-FLt,0.0025833039209198416,0.003203897764010188
Eye2-FLa,0.004160926638194498,0.00570229475882208
Eye2-FLs,0.002091873009502309,0.0029839790553195067
Eye2-FLb,0.0009797154891507853,0.001195416392677273
Eye2-C3d,-4.829811836783854e-05,9.074906463724343e-05
Eye2-C3t,-0.0038108646424646737,-0.002843890037333389
Eye2-C3a,-0.0005839893204695153,-0.0008233758959040429
Eye2-C3s,-0.0005021789111560509,-0.00045171973079456885
Eye2-C3b,-0.00037482366699954087,4.361015317567241e-05
Eye2-O1d,-0.007985174103038926,-0.005139409097865151
Eye2-O1t,-0.0041337307922019294,-0.003699675267390528
Eye2-O1a,0.0023438021444253197,0.003646601418619301
Eye2-O1s,-0.0010675658060318807,-0.0008433144803289608
Eye2-O1b,0.0010564926526141342,0.0012454630649090044
Eye2-FRd,-0.005876627832642208,-0.004263415088292494
Eye2-FRt,-0.002822434161961736,-0.000976783310064783
Eye2-FRa,-0.004064130729893678,-0.0032944198841233204
Eye2-FRs,-0.005433740238748005,-0.0036720620658252288
Eye2-FRb,-0.005461880256319069,-0.0036455824075969285
Eye2-C4d,-0.00400619255333989,-0.0035317599618167384
Eye2-C4t,-0.006217995210943101,-0.00473217126433167
Eye2-C4a,0.0010628118836586867,0.0010097391748600676
Eye2-C4s,-0.0036572879154659955,-0.0033269516568776173
Eye2-C4b,-0.002359100767784595,-0.0018878802715697886
Eye2-O2d,-0.006309736024958161,-0.004531339925748054
Eye2-O2t,-0.003346245081513917,-0.003243627027547445
